Date,Open,High,Low,Close,Volume
2015-12-28,1990.59,1991.19,1964.06,1964.06,396643000
2015-12-29,1956.49,1968.57,1946.21,1966.31,401427000
2015-12-30,1973.03,1974.67,1958.78,1961.31,304462000
2016-01-04,1954.47,1954.52,1918.76,1918.76,359018000
2016-01-05,1911.93,1937.57,1911.93,1930.53,446548000
2016-01-06,1934.25,1934.25,1911.61,1925.43,594612000
2016-01-07,1915.71,1926.41,1901.24,1904.33,393042000
2016-01-08,1889.42,1918.25,1883.82,1917.62,430204000
2016-01-11,1897.18,1907.43,1892.69,1894.84,328768000
2016-01-12,1907.61,1910.59,1888.94,1890.86,295135000
2016-01-13,1904.33,1921.0,1902.49,1916.28,265221000
2016-01-14,1893.18,1900.48,1882.02,1900.01,310978000
2016-01-15,1915.83,1918.3,1873.35,1878.87,312359000
2016-01-18,1856.03,1882.21,1854.55,1878.45,276937000
2016-01-19,1879.8,1889.9,1866.76,1889.64,335321000
2016-01-20,1885.36,1885.36,1830.06,1845.45,407298000
2016-01-21,1848.1,1860.02,1838.04,1840.53,433741000
2016-01-22,1860.3,1879.43,1859.54,1879.43,408460000
2016-01-25,1890.15,1901.22,1882.74,1893.43,315303000
2016-01-26,1881.87,1884.13,1862.98,1871.69,298824000
2016-01-27,1888.07,1902.03,1883.39,1897.87,348905000
2016-01-28,1885.38,1907.56,1877.78,1906.94,354305000
2016-01-29,1905.01,1912.07,1888.48,1912.06,386555000
2016-02-01,1919.62,1926.11,1912.85,1924.82,440317000
2016-02-02,1914.96,1920.02,1906.06,1906.6,412273000
2016-02-03,1893.83,1894.72,1882.75,1890.67,408594000
2016-02-04,1900.48,1917.09,1897.18,1916.26,365805000
2016-02-05,1914.55,1921.76,1910.31,1917.79,305766000
2016-02-11,1872.68,1877.77,1858.9,1861.54,386428000
2016-02-12,1850.67,1857.12,1817.97,1835.28,470499000
2016-02-15,1857.33,1864.62,1847.6,1862.2,284595000
2016-02-16,1870.1,1892.15,1868.11,1888.3,388318000
2016-02-17,1889.41,1897.37,1881.03,1883.94,344628000
2016-02-18,1909.4,1910.12,1898.49,1908.84,332576000
2016-02-19,1904.5,1916.24,1902.24,1916.24,312197000
2016-02-22,1911.56,1921.14,1905.85,1916.36,267858000
2016-02-23,1928.85,1929.53,1909.79,1914.22,326810000
2016-02-24,1908.71,1918.63,1906.19,1912.53,281600000
2016-02-25,1919.08,1928.49,1906.99,1918.57,305789000
2016-02-26,1927.1,1927.8,1917.07,1920.16,280216000
2016-02-29,1921.76,1927.05,1916.66,1916.66,275051000
2016-03-02,1944.27,1949.94,1942.24,1947.42,323352000
2016-03-03,1957.83,1958.17,1946.57,1958.17,420984000
2016-03-04,1956.01,1958.46,1949.47,1955.63,316418000
2016-03-07,1961.26,1963.43,1955.97,1957.87,344612000
2016-03-08,1958.94,1958.94,1935.55,1946.12,358684000
2016-03-09,1940.55,1952.95,1938.32,1952.95,355392000
2016-03-10,1958.87,1976.19,1955.67,1969.33,352325000
2016-03-11,1968.3,1975.87,1966.65,1971.41,303418000
2016-03-14,1985.74,1985.9,1970.56,1972.27,357078000
2016-03-15,1975.61,1979.46,1966.44,1969.97,264582000
2016-03-16,1971.58,1982.08,1969.66,1974.9,294460000
2016-03-17,1984.69,2000.3,1984.33,1987.99,291577000
2016-03-18,1996.31,1996.31,1986.04,1992.12,385847000
2016-03-21,1999.25,2003.12,1982.7,1989.76,323260000
2016-03-22,1993.37,1997.76,1986.87,1996.81,383752000
2016-03-23,1996.47,2001.67,1989.84,1995.12,367551000
2016-03-24,1988.46,1992.76,1981.17,1985.97,341173000
2016-03-25,1991.06,1991.06,1981.53,1983.81,463422000
2016-03-28,1984.93,1992.46,1981.37,1982.54,410468000
2016-03-29,1986.93,1997.33,1984.07,1994.91,385453000
2016-03-30,2005.24,2009.1,1998.51,2002.14,368305000
